candidate_id,rank,score,reasoning
CAND_0077337,1,0.838168,Staff Machine Learning Engineer at Paytm with 7 years experience; career history shows direct work on ranking/search/recommendation systems.
CAND_0018499,2,0.78113,Senior Machine Learning Engineer at Zomato with 7.2 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0046525,3,0.77723,Senior Machine Learning Engineer at Genpact AI with 6.1 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0081846,4,0.769818,Lead AI Engineer at Razorpay with 6.7 years experience; career history shows direct work on ranking/search/recommendation systems.
CAND_0064326,5,0.752229,Search Engineer at Sarvam AI with 7.6 years experience; career history shows direct work on ranking/search/recommendation systems; concern: ranking evaluation not clearly evidenced in profile.
CAND_0061257,6,0.728037,Staff Machine Learning Engineer at LinkedIn with 8 years experience; career history shows direct work on ranking/search/recommendation systems.
CAND_0007460,7,0.725296,AI Engineer at Salesforce with 4.7 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0088025,8,0.721252,Staff Machine Learning Engineer at Yellow.ai with 8.6 years experience; career history shows direct work on ranking/search/recommendation systems; concern: embeddings/retrieval not clearly evidenced in profile.
CAND_0042506,9,0.72021,Search Engineer at Verloop.io with 4.2 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0049896,10,0.714874,Search Engineer at Unacademy with 7.3 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0002025,11,0.714004,Senior AI Engineer at Apple with 5.9 years experience; career history shows direct work on ranking/search/recommendation systems; concern: ranking evaluation not clearly evidenced in profile.
CAND_0052328,12,0.71218,Recommendation Systems Engineer at Amazon with 6.5 years experience; career history shows direct work on ranking/search/recommendation systems.
CAND_0011162,13,0.710876,Recommendation Systems Engineer at upGrad with 5.8 years experience; career history shows direct work on ranking/search/recommendation systems; concern: ranking evaluation not clearly evidenced in profile.
CAND_0030468,14,0.708889,Senior Applied Scientist at Swiggy with 5.4 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0069905,15,0.702779,Applied ML Engineer at Sarvam AI with 6.6 years experience; career history shows direct work on ranking/search/recommendation systems.
CAND_0007596,16,0.702599,Junior ML Engineer at Flipkart with 4.4 years experience; career history shows direct work on ranking/search/recommendation systems; concern: ranking evaluation not clearly evidenced in profile.
CAND_0041610,17,0.69833,Recommendation Systems Engineer at Zoho with 6.7 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0066376,18,0.695794,Applied ML Engineer at Dream11 with 5.7 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0096142,19,0.690768,Applied ML Engineer at upGrad with 5 years experience; career history shows direct work on ranking/search/recommendation systems; concern: embeddings/retrieval not clearly evidenced in profile.
CAND_0068811,20,0.680689,Applied ML Engineer at Freshworks with 8 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0070398,21,0.680098,Machine Learning Engineer at Genpact AI with 7.2 years experience; career history shows direct work on ranking/search/recommendation systems.
CAND_0054318,22,0.679411,AI Research Engineer at BYJU'S with 3.5 years experience; career history shows direct work on ranking/search/recommendation systems.
CAND_0043860,23,0.679004,Junior ML Engineer at Aganitha with 6.1 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0006567,24,0.678676,Senior AI Engineer at Meta with 7.9 years experience; career history shows direct work on ranking/search/recommendation systems; concern: ranking evaluation not clearly evidenced in profile.
CAND_0054546,25,0.677596,AI Research Engineer at Razorpay with 4.9 years experience; career history shows direct work on ranking/search/recommendation systems; concern: embeddings/retrieval not clearly evidenced in profile.
CAND_0009691,26,0.677359,Applied ML Engineer at LinkedIn with 6.2 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0073620,27,0.677025,AI Research Engineer at TCS with 4.4 years experience; career history shows direct work on ranking/search/recommendation systems; concern: ranking evaluation not clearly evidenced in profile.
CAND_0041669,28,0.676194,Recommendation Systems Engineer at CRED with 8 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0008295,29,0.671615,AI Research Engineer at Razorpay with 6.5 years experience; career history shows direct work on ranking/search/recommendation systems; concern: embeddings/retrieval not clearly evidenced in profile.
CAND_0008425,30,0.664673,Senior NLP Engineer at Ola with 7.8 years experience; career history shows direct work on ranking/search/recommendation systems.
CAND_0050876,31,0.662323,Applied ML Engineer at Freshworks with 6 years experience; career history shows direct work on ranking/search/recommendation systems; concern: ranking evaluation not clearly evidenced in profile.
CAND_0099806,32,0.660952,AI Engineer at Mad Street Den with 4.6 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0014909,33,0.660874,Computer Vision Engineer at Niramai with 4.8 years experience; career history shows direct work on ranking/search/recommendation systems; concern: embeddings/retrieval not clearly evidenced in profile.
CAND_0076163,34,0.660621,NLP Engineer at Ola with 6.9 years experience; career history shows direct work on ranking/search/recommendation systems; concern: ranking evaluation not clearly evidenced in profile.
CAND_0007009,35,0.657,Recommendation Systems Engineer at Wysa with 7.9 years experience; career history shows direct work on ranking/search/recommendation systems; concern: inactive on platform for 69 days.
CAND_0054394,36,0.656959,Recommendation Systems Engineer at PharmEasy with 4.1 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0095528,37,0.654047,Senior Data Scientist at Netflix with 5.3 years experience; career history shows direct work on ranking/search/recommendation systems; concern: ranking evaluation not clearly evidenced in profile.
